vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.2283,192.0,0.8193,187.8,0.9473,0.534,180.6,0.5273818973981961,0.5697463076719712
MAT 1:2,0.204,2542.0,0.689,1804.0,0.837,0.539,1315.0,0.4384322639031155,0.5373329368434523
MAT 1:3,0.2014,1884.0,0.561,1593.0,0.799,0.5684,979.5,0.4436597182908384,0.5068220392405783
MAT 1:4,0.266,2070.0,0.635,1386.0,0.825,0.6274,1007.0,0.35827250106636416,0.5636438625180015
MAT 1:5,0.2004,1243.0,0.4836,1016.0,0.7397,0.5728,628.0,0.37812391877079327,0.4895072122867628
MAT 1:6,0.1411,1397.0,0.656,1145.0,0.822,0.631,713.0,0.3910268501821792,0.5379391605862941
MAT 1:7,0.266,2072.0,0.62,1387.0,0.825,0.7085,1008.0,0.33127927456542494,0.5797645089890265
MAT 1:8,0.266,2070.0,0.644,1386.0,0.825,0.7227,1006.5,0.29954940494053367,0.5907311570055759
MAT 1:9,0.266,2070.0,0.644,1386.0,0.825,0.7227,1006.5,0.29954940494053367,0.5907311570055759
MAT 1:10,0.266,2070.0,0.621,1386.0,0.825,0.6514,1007.0,0.3454956359463926,0.5668743495223568
MAT 1:11,0.1711,2198.0,0.6343,1636.0,0.8076,0.5767,1155.0,0.3727900040387057,0.5293479994841804
MAT 1:12,0.1838,1622.0,0.6743,1089.0,0.85,0.6904,795.0,0.30353785353810625,0.5791007678035904
MAT 1:13,0.266,2070.0,0.6167,1386.0,0.825,0.7227,1007.0,0.29954940494053367,0.5852345052198615
MAT 1:14,0.266,2070.0,0.644,1386.0,0.825,0.7227,1006.5,0.29954940494053367,0.5907311570055759
MAT 1:15,0.266,2074.0,0.641,1389.0,0.825,0.717,1010.0,0.3154633506858179,0.5873917164588311
MAT 1:16,0.1304,1147.0,0.6436,952.5,0.7876,0.4612,624.5,0.49096381641868186,0.479964251018768
MAT 1:17,0.127,1624.0,0.695,1431.0,0.866,0.598,869.5,0.3907874855728638,0.5453547454450695
MAT 1:18,0.0982,792.0,0.5156,631.5,0.7876,0.393,465.0,0.5776784736658316,0.4203826585683764
MAT 1:19,0.1309,1984.0,0.5015,759.5,0.72,0.356,982.0,0.6067776109613503,0.40315192247746384
MAT 1:20,0.0691,885.0,0.6304,759.5,0.854,0.462,585.0,0.4210239471873231,0.4897830429072632
MAT 1:21,0.12054,2194.0,0.5923,959.0,0.8057,0.484,1190.0,0.45058507700400474,0.48323918598972215
MAT 1:22,0.2615,1032.0,0.5464,914.5,0.8467,0.2766,575.0,0.5590226585587952,0.4549579497050776
MAT 1:23,0.129,1283.0,0.5723,1107.0,0.8457,0.4146,748.0,0.5090087533895369,0.4655322804758987
MAT 1:24,0.08075,1871.0,0.5737,1364.0,0.804,0.4138,1003.0,0.498258662132849,0.4515339099894583
MAT 1:25,0.1388,1457.0,0.509,840.5,0.746,0.4639,1062.0,0.44890558629750826,0.45430925960942314
MAT 2:1,0.11566,993.5,0.679,801.0,0.861,0.573,566.5,0.3639663425359356,0.540766214431411
MAT 2:2,0.13,1758.0,0.6562,1503.0,0.8306,0.4856,1053.0,0.4120101362131829,0.5112606465893899
MAT 2:3,0.1648,2130.0,0.745,1873.0,0.891,0.5938,1209.0,0.3133629143996303,0.5807721970705139
MAT 2:4,0.0919,1668.0,0.654,1482.0,0.8716,0.4146,916.5,0.47247841463646967,0.48498601288380316
MAT 2:5,0.1394,1549.0,0.6265,1311.0,0.8003,0.4907,939.0,0.41865815835851344,0.4974972686711765
MAT 2:6,0.1003,1276.0,0.565,1091.0,0.821,0.3567,708.5,0.5336617355277005,0.44055937176617854
MAT 2:7,0.2455,1045.0,0.606,923.0,0.954,0.3862,559.0,0.5662564711266285,0.5067381345810696
MAT 2:8,0.0746,1237.0,0.5117,1041.0,0.775,0.3242,712.0,0.5742719437842875,0.40195591046851725
MAT 2:9,0.1072,1245.0,0.553,1073.0,0.8765,0.3264,717.0,0.510326424758259,0.44984734508443136
MAT 2:10,0.2435,1456.0,0.5835,1258.0,0.8247,0.3687,750.0,0.5742725859433983,0.4696280619009068
MAT 2:11,0.1045,1132.0,0.6484,1003.5,0.9224,0.4263,630.5,0.4591940286348448,0.5027249051514634
MAT 2:12,0.08984,1462.0,0.4534,1211.0,0.838,0.336,792.0,0.6436797503680242,0.39981713667850743
MAT 2:13,0.07117,1038.0,0.579,866.5,0.896,0.4106,620.0,0.4530611899255981,0.47484056364296223
MAT 2:14,0.1893,1783.0,0.4937,1514.0,0.791,0.44,958.5,0.45774670771703024,0.46507924516383975
MAT 2:15,0.1538,871.0,0.559,655.0,0.8594,0.3943,539.0,0.45144809735114955,0.4768008250179528
MAT 2:16,0.08093,923.5,0.508,815.0,0.7017,0.3774,533.0,0.5022100627896167,0.41011256946518937
MAT 2:17,0.2632,1431.0,0.678,1259.0,0.886,0.3862,715.5,0.4490114058853918,0.5268089129008731
MAT 2:18,0.091,1412.0,0.5835,704.5,0.8164,0.4163,753.5,0.4850000907407572,0.4596889014633472
MAT 2:19,0.10767,1176.0,0.6743,1045.0,0.962,0.545,688.5,0.42753802342123903,0.5404728507954241
MAT 2:20,0.1334,1497.0,0.5913,1268.0,0.864,0.3665,862.5,0.4760118727582687,0.47178459307663534
MAT 2:21,0.1659,2164.0,0.5396,1541.0,0.7456,0.4165,1138.0,0.4289565319288318,0.46139985373998577
MAT 2:22,0.08496,802.0,0.5205,654.5,0.8306,0.4214,474.8,0.5053180321881744,0.4458522788198222
MAT 2:23,0.09216,1475.0,0.563,1206.0,0.856,0.4133,833.0,0.5096525815776465,0.46014528725023746
MAT 3:1,0.1054,1256.0,0.607,1106.0,0.9185,0.4858,690.5,0.3883753009254487,0.5154821765480387
MAT 3:2,0.1451,2008.0,0.653,1683.0,0.797,0.6084,1140.0,0.364629300963224,0.5343558915616209
MAT 3:3,0.0959,990.5,0.5884,844.0,0.8667,0.4224,627.0,0.47418522756676945,0.47523928783077396
MAT 3:4,0.1525,832.5,0.5527,609.5,0.779,0.4292,520.5,0.5781535402209034,0.44493501992628365
MAT 3:5,0.1715,2136.0,0.6694,1873.0,0.915,0.5903,1185.0,0.3122549536864416,0.5706809536333332
MAT 3:6,0.1257,2372.0,0.6924,2098.0,0.9355,0.535,1320.0,0.40851348897322914,0.5432289317228833
MAT 3:7,0.11707,1387.0,0.619,1118.0,0.801,0.5034,803.0,0.408709071719942,0.4971986873113055
MAT 3:8,0.2369,388.8,0.4346,85.3,0.7676,0.3435,354.2,0.5541524624141235,0.4229246461705462
MAT 3:9,0.0934,1736.0,0.6255,854.0,0.8096,0.4248,971.0,0.5083291928113038,0.46552987854800554
MAT 3:10,0.11566,1153.0,0.585,978.0,0.8174,0.4153,632.5,0.47709601488465647,0.4667558025603451
MAT 3:11,0.0881,1324.0,0.5786,1072.0,0.7812,0.4048,784.5,0.529547826968421,0.4415393571432298
MAT 3:12,0.09314,1384.0,0.655,1185.0,0.827,0.58,802.5,0.34463178129201777,0.5282604263678332
MAT 3:13,0.1559,1229.0,0.652,1071.0,0.898,0.5347,718.0,0.37887403368325673,0.5408741870876201
MAT 3:14,0.1417,2188.0,0.625,1211.0,0.821,0.4258,1240.0,0.4323083096940434,0.48998196199733457
MAT 3:15,0.08594,1321.0,0.594,599.0,0.82,0.3823,818.0,0.4612207011518403,0.4596115250309538
MAT 3:16,0.1144,1508.0,0.7017,1140.0,0.8975,0.4602,862.5,0.41721559064592145,0.5233399395676351
MAT 3:17,0.1564,1740.0,0.7437,1522.0,0.9087,0.47,1029.0,0.32430672129029936,0.557068541415855
MAT 4:1,0.1895,1292.0,0.6904,1154.0,0.9517,0.511,717.5,0.40012122602250405,0.5595018303091266
MAT 4:2,0.166,1211.0,0.6997,1077.0,0.984,0.3616,666.0,0.6346568625137975,0.4945637410647673
MAT 4:3,0.1542,1744.0,0.7207,1526.0,0.892,0.4365,1042.0,0.425580994336713,0.5272029093421984
MAT 4:4,0.0689,1030.0,0.6577,884.0,0.8813,0.4314,659.5,0.44508560711207384,0.49253046997227046
MAT 4:5,0.171,1743.0,0.7295,1546.0,0.9507,0.5444,970.5,0.3088297978286184,0.5823750253659802
MAT 4:6,0.0703,1232.0,0.594,1044.0,0.8423,0.3892,755.0,0.49068589421161796,0.4563820962575176
MAT 4:7,0.1141,1850.0,0.652,1618.0,0.852,0.539,1136.0,0.3535696431004866,0.5273313002871916
MAT 4:8,0.1553,1626.0,0.709,1396.0,0.9316,0.4758,910.5,0.4224858676903878,0.5406983696402511
MAT 4:9,0.1298,1540.0,0.746,1329.0,0.915,0.4365,997.5,0.36814327697722926,0.5411232315593532
MAT 4:10,0.09814,1866.0,0.7397,1628.0,0.931,0.602,1131.0,0.2789407034245424,0.5815200567101303
MAT 4:11,0.1277,2180.0,0.663,1932.0,0.961,0.4226,1186.0,0.43315877446693685,0.5198529094569554
MAT 4:12,0.1387,1667.0,0.593,418.0,0.8477,0.465,868.0,0.375620133848024,0.5028718055770234
MAT 4:13,0.1638,1663.0,0.62,1469.0,0.908,0.509,892.5,0.4874386116897747,0.5111881858487874
MAT 4:14,0.2362,1416.0,0.605,1244.0,0.871,0.3525,700.0,0.5076357567887168,0.4882184644873315
MAT 4:15,0.1787,1776.0,0.752,1572.0,0.971,0.677,918.5,0.2914078734054953,0.616551788390649
MAT 4:16,0.0975,1658.0,0.701,1471.0,0.9604,0.4597,928.0,0.4349697508835794,0.5298530801881032
MAT 4:17,0.1135,1832.0,0.6025,1580.0,0.8237,0.5234,1064.0,0.3603070735763299,0.5095159295683979
MAT 4:18,0.113,1143.0,0.6587,984.5,0.8604,0.4756,654.0,0.4183761920498774,0.5088738268307158
MAT 4:19,0.1937,1461.0,0.643,1243.0,0.826,0.337,911.0,0.4664999597127264,0.48260883406545385
MAT 4:20,0.1705,1219.0,0.5654,352.8,0.746,0.4043,1054.0,0.4672142046561524,0.4599440485782867
MAT 4:21,0.1349,1268.0,0.7217,1126.0,0.948,0.515,724.0,0.3883067781490269,0.5531068614033813
MAT 4:22,0.1588,2492.0,0.665,2162.0,0.875,0.4792,1366.0,0.3729568218818524,0.5299248706710606
MAT 4:23,0.10815,1363.0,0.6265,1205.0,0.936,0.4556,762.5,0.39704039619666454,0.5168562964907553
MAT 4:24,0.07935,1201.0,0.5034,1023.0,0.748,0.3447,661.0,0.5634407112683288,0.40404431696274257
