vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.2301,262.2,0.7104,259.2,0.9937,0.6577,247.8,0.32570508819946803,0.6109200388628929
MAT 1:2,0.3035,1282.0,0.7188,1010.0,0.82,0.583,732.5,0.3733597191504347,0.5770131292198736
MAT 1:3,0.232,1498.0,0.641,1017.5,0.7705,0.6035,816.5,0.3766235435835805,0.540295681044759
MAT 1:4,0.2185,763.0,0.6885,118.9,0.752,0.59,498.2,0.4066189451170521,0.534873635271419
MAT 1:5,0.2084,1021.5,0.507,349.0,0.7065,0.5874,603.5,0.39958555694970943,0.48841875990946326
MAT 1:6,0.1509,1299.0,0.723,1067.0,0.8374,0.6167,650.5,0.4146377392476479,0.5506831194551787
MAT 1:7,0.2185,764.0,0.676,119.7,0.752,0.642,498.8,0.4127243554679079,0.5417035944774574
MAT 1:8,0.2185,763.0,0.6904,118.56,0.752,0.685,498.0,0.34789584899122156,0.5605518895804219
MAT 1:9,0.2185,763.0,0.6904,118.56,0.752,0.685,498.0,0.34789584899122156,0.5605518895804219
MAT 1:10,0.2185,763.0,0.693,118.7,0.752,0.614,498.2,0.3938420799970805,0.5417732070972029
MAT 1:11,0.154,2138.0,0.629,1645.0,0.7764,0.5283,1078.0,0.46577348894322945,0.4934807123836054
MAT 1:12,0.2225,1810.0,0.561,295.5,0.8574,0.598,761.5,0.4570062954276533,0.5236133399897686
MAT 1:13,0.2185,763.0,0.688,118.9,0.752,0.685,498.2,0.34789584899122156,0.5600775592232791
MAT 1:14,0.2185,763.0,0.6904,118.56,0.752,0.685,498.0,0.34789584899122156,0.5605518895804219
MAT 1:15,0.2185,766.5,0.685,122.1,0.7573,0.679,501.2,0.36380979473650576,0.5578123374265342
MAT 1:16,0.1267,1119.0,0.701,939.5,0.825,0.5186,620.0,0.38944414560356466,0.5248079604699959
MAT 1:17,0.1368,1703.0,0.694,1456.0,0.91,0.5913,901.0,0.39433117077880997,0.5512688672174213
MAT 1:18,0.12396,759.0,0.512,583.0,0.7886,0.3918,438.2,0.5685857958172639,0.42688930999269736
MAT 1:19,0.0968,1900.0,0.552,821.0,0.8076,0.3328,866.5,0.5986887752621247,0.4212776922493759
MAT 1:20,0.061,821.5,0.615,693.5,0.844,0.4128,538.5,0.428515534433036,0.4725268623717348
MAT 1:21,0.10864,2190.0,0.5845,1040.0,0.795,0.4822,1117.0,0.43524064381308314,0.48043639625863216
MAT 1:22,0.1676,1025.0,0.5894,875.5,0.8506,0.2944,585.0,0.5037494129948565,0.45810238577947887
MAT 1:23,0.1311,1650.0,0.57,805.5,0.831,0.4348,851.0,0.4934628636422452,0.4699305038935167
MAT 1:24,0.09753,1617.0,0.6245,1379.0,0.8545,0.3958,886.5,0.47262707836957485,0.47527713219334616
MAT 1:25,0.142,1632.0,0.534,991.5,0.8237,0.4524,1133.0,0.41522275948717624,0.47860620354554806
MAT 2:1,0.1166,925.0,0.677,779.0,0.911,0.556,557.5,0.35702662586603645,0.5464420704231744
MAT 2:2,0.1696,1733.0,0.671,1473.0,0.8926,0.4763,994.0,0.4259442007086007,0.5300532545260225
MAT 2:3,0.1332,2234.0,0.7363,1897.0,0.897,0.618,1236.0,0.300111953006831,0.5806917056155109
