source,target,embedding_score
in,en,-0.04495
in,el,-0.0677
in,principio,0.263
in,",",0.2125
in,dios,0.0838
in,creó,0.263
in,los,0.3643
in,cielos,0.3643
in,y,-0.1403
in,la,0.1405
in,tierra,0.2333
in,.,-0.1403
the,en,0.067
the,el,0.2467
the,principio,0.01358
the,",",0.387
the,dios,0.4802
the,creó,0.01358
the,los,0.2429
the,cielos,0.2429
the,y,0.3694
the,la,0.6934
the,tierra,0.36
the,.,0.3694
beginning,en,0.1809
beginning,el,0.1427
beginning,principio,0.6934
beginning,",",0.11694
beginning,dios,-0.04904
beginning,creó,0.6934
beginning,los,0.1606
beginning,cielos,0.1606
beginning,y,-0.0358
beginning,la,0.01358
beginning,tierra,0.09186
beginning,.,-0.0358
god,en,0.0565
god,el,0.1958
god,principio,-0.04904
god,",",0.3245
god,dios,0.6934
god,creó,-0.04904
god,los,0.1677
god,cielos,0.1677
god,y,0.4927
god,la,0.4802
god,tierra,0.3105
god,.,0.4927
created,en,0.1809
created,el,0.1427
created,principio,0.6934
created,",",0.11694
created,dios,-0.04904
created,creó,0.6934
created,los,0.1606
created,cielos,0.1606
created,y,-0.0358
created,la,0.01358
created,tierra,0.09186
created,.,-0.0358
heaven,en,0.1809
heaven,el,0.1427
heaven,principio,0.6934
heaven,",",0.11694
heaven,dios,-0.04904
heaven,creó,0.6934
heaven,los,0.1606
heaven,cielos,0.1606
heaven,y,-0.0358
heaven,la,0.01358
heaven,tierra,0.09186
heaven,.,-0.0358
and,en,0.0565
and,el,0.1958
and,principio,-0.04904
and,",",0.3245
and,dios,0.6934
and,creó,-0.04904
and,los,0.1677
and,cielos,0.1677
and,y,0.4927
and,la,0.4802
and,tierra,0.3105
and,.,0.4927
earth,en,0.6934
earth,el,0.3738
earth,principio,0.1809
earth,",",0.2651
earth,dios,0.0565
earth,creó,0.1809
earth,los,-0.1572
earth,cielos,-0.1572
earth,y,0.12256
earth,la,0.067
earth,tierra,0.2081
earth,.,0.12256
.,en,0.0565
.,el,0.1958
.,principio,-0.04904
.,",",0.3245
.,dios,0.6934
.,creó,-0.04904
.,los,0.1677
.,cielos,0.1677
.,y,0.4927
.,la,0.4802
.,tierra,0.3105
.,.,0.4927
and,no,-0.1827
and,tenía,-0.1827
and,forma,-0.1827
and,estaba,-0.1827
and,vacía,-0.1827
and,oscuridad,0.1788
and,cubría,-0.1827
and,las,0.1946
and,aguas,0.1946
and,profundas,-0.1827
and,;,0.0629
and,espíritu,-0.1827
and,de,0.2527
and,se,0.0874
and,movía,-0.1827
and,aire,-0.1827
and,sobre,-0.1827
and,superficie,-0.1827
the,no,-0.2307
the,tenía,-0.2307
the,forma,-0.2307
the,estaba,-0.2307
the,vacía,-0.2307
the,oscuridad,0.2153
the,cubría,-0.2307
the,las,0.2058
the,aguas,0.2058
the,profundas,-0.2307
the,;,-0.1769
the,espíritu,-0.2307
the,de,0.2812
the,se,0.1073
the,movía,-0.2307
the,aire,-0.2307
the,sobre,-0.2307
the,superficie,-0.2307
earth,no,0.2042
earth,tenía,0.2042
earth,forma,0.2042
earth,estaba,0.2042
earth,vacía,0.2042
earth,oscuridad,-0.01973
earth,cubría,0.2042
earth,las,-0.07184
earth,aguas,-0.07184
earth,profundas,0.2042
earth,;,-0.08984
earth,espíritu,0.2042
earth,de,-0.2064
earth,se,0.1371
earth,movía,0.2042
earth,aire,0.2042
earth,sobre,0.2042
earth,superficie,0.2042
was,la,-0.00588
was,tierra,-0.0888
was,no,0.0322
was,tenía,0.0322
was,forma,0.0322
was,y,0.2424
was,estaba,0.0322
was,vacía,0.0322
was,",",-0.2494
was,oscuridad,0.095
was,cubría,0.0322
was,las,0.06976
was,aguas,0.06976
was,profundas,0.0322
was,;,0.1519
was,el,-0.2382
was,espíritu,0.0322
was,de,0.218
was,dios,0.1886
was,se,-0.0952
was,movía,0.0322
was,en,-0.1769
was,aire,0.0322
was,sobre,0.0322
was,superficie,0.0322
was,.,0.2424
without,la,-0.2307
without,tierra,-0.11694
without,no,0.6934
without,tenía,0.6934
without,forma,0.6934
without,y,-0.1049
without,estaba,0.6934
without,vacía,0.6934
without,",",-0.0687
without,oscuridad,0.082
without,cubría,0.6934
without,las,0.005844
without,aguas,0.005844
without,profundas,0.6934
without,;,0.1195
without,el,0.0336
without,espíritu,0.6934
without,de,-0.11035
without,dios,-0.1827
without,se,0.2251
without,movía,0.6934
without,en,0.2042
without,aire,0.6934
without,sobre,0.6934
without,superficie,0.6934
without,.,-0.1049
form,la,-0.2307
form,tierra,-0.11694
form,no,0.6934
form,tenía,0.6934
form,forma,0.6934
form,y,-0.1049
form,estaba,0.6934
form,vacía,0.6934
form,",",-0.0687
form,oscuridad,0.082
form,cubría,0.6934
form,las,0.005844
form,aguas,0.005844
form,profundas,0.6934
form,;,0.1195
form,el,0.0336
form,espíritu,0.6934
form,de,-0.11035
form,dios,-0.1827
form,se,0.2251
form,movía,0.6934
form,en,0.2042
form,aire,0.6934
form,sobre,0.6934
form,superficie,0.6934
form,.,-0.1049
",",la,0.3293
",",tierra,0.1376
",",no,-0.12354
",",tenía,-0.12354
",",forma,-0.12354
",",y,0.3652
