source,target,alignment_count
",",schuf,1
",",und,1
.,.,6
:,:,1
;,es,2
a,nannte,1
aguas,auf,1
aguas,wasser,1
aire,gottes,1
así,morgen,1
buena,gut,1
cielos,himmel,1
creó,gott,1
cumplió,erste,1
de,dem,1
de,der,2
dijo,sprach,1
dios,gott,3
dios,und,2
día,tag,2
el,;,1
el,am,1
el,der,2
el,geist,1
el,tiefe,1
en,am,1
entonces,und,1
era,gut,1
espíritu,der,1
estaba,und,1
forma,war,1
haya,werde,1
hubo,ward,1
la,",",2
la,abend,1
la,da,2
la,das,3
la,die,2
la,gott,1
la,von,1
las,auf,2
llamó,nannte,1
los,himmel,1
luego,da,1
luz,licht,5
mañana,morgen,1
movía,der,1
no,und,1
noche,nacht,1
oscuridad,der,1
oscuridad,finsternis,2
primer,erste,1
principio,anfang,1
profundas,und,1
que,daß,1
que,werde,1
se,der,2
separó,schied,1
sobre,schwebte,1
superficie,auf,1
tarde,aus,1
tierra,erde,2
vio,sah,1
y,finster,1
y,leer,1
y,und,4
y,ward,1
y,wüst,1
«,licht,2
»,!,1
»,licht,2
»,nacht,1
