,text,words,keys,values
0,"¿Le importaría darnos las llaves de la habitación, por favor?
","['le', 'importaría', 'darnos', 'las', 'llaves', 'de', 'la', 'habitación', 'por', 'favor']","['le', 'importaría', 'darnos', 'las', 'llaves', 'de', 'la', 'habitación', 'por', 'favor']","['would', 'you', 'mind', 'giving', 'us', 'the', 'keys', 'to', 'the', 'room', 'please']"
1,"He hecho la reserva de una habitación tranquila doble con teléfono y televisión a nombre de Rosario Cabedo.
","['he', 'hecho', 'la', 'reserva', 'de', 'una', 'habitación', 'tranquila', 'doble', 'con', 'teléfono', 'y', 'televisión', 'a', 'nombre', 'de', 'rosario', 'cabedo']","['he', 'hecho', 'la', 'reserva', 'de', 'una', 'habitación', 'tranquila', 'doble', 'con', 'teléfono', 'y', 'televisión', 'a', 'nombre', 'de', 'rosario', 'cabedo']","['i', 'have', 'made', 'a', 'reservation', 'for', 'a', 'quiet', 'double', 'room', 'with', 'a', 'telephone', 'and', 'a', 'tv', 'for', 'rosario', 'cabedo']"
2,"¿Le importaría cambiarme a otra habitación más tranquila?
","['le', 'importaría', 'cambiarme', 'a', 'otra', 'habitación', 'más', 'tranquila']","['le', 'importaría', 'cambiarme', 'a', 'otra', 'habitación', 'más', 'tranquila']","['would', 'you', 'mind', 'moving', 'me', 'to', 'a', 'quieter', 'room']"
3,"Por favor, tengo reservada una habitación.
","['por', 'favor', 'tengo', 'reservada', 'una', 'habitación']","['por', 'favor', 'tengo', 'reservada', 'una', 'habitación']","['i', 'have', 'booked', 'a', 'room']"
4,"Me parece que existe un problema.
","['me', 'parece', 'que', 'existe', 'un', 'problema']","['me', 'parece', 'que', 'existe', 'un', 'problema']","['i', 'think', 'that', 'there', 'is', 'a', 'problem']"
5,"¿Tiene habitaciones libres con televisión, aire acondicionado y caja fuerte?
","['tiene', 'habitaciones', 'libres', 'con', 'televisión', 'aire', 'acondicionado', 'y', 'caja', 'fuerte']","['tiene', 'habitaciones', 'libres', 'con', 'televisión', 'aire', 'acondicionado', 'y', 'caja', 'fuerte']","['do', 'you', 'have', 'any', 'rooms', 'with', 'a', 'tv', 'air', 'conditioning', 'and', 'a', 'safe', 'available']"
6,"¿Le importaría mostrarnos una habitación con televisión?
","['le', 'importaría', 'mostrarnos', 'una', 'habitación', 'con', 'televisión']","['le', 'importaría', 'mostrarnos', 'una', 'habitación', 'con', 'televisión']","['would', 'you', 'mind', 'showing', 'us', 'a', 'room', 'with', 'a', 'tv']"
7,"¿Tiene teléfono?
","['tiene', 'teléfono']","['tiene', 'teléfono']","['does', 'it', 'have', 'a', 'telephone']"
8,"Voy a marcharme el dos a las ocho de la noche.
","['voy', 'a', 'marcharme', 'el', 'dos', 'a', 'las', 'ocho', 'de', 'la', 'noche']","['voy', 'a', 'marcharme', 'el', 'dos', 'a', 'las', 'ocho', 'de', 'la', 'noche']","['i', 'am', 'leaving', 'on', 'the', 'second', 'at', 'eight', 'in', 'the', 'evening']"
9,"¿Cuánto cuesta una habitación individual por semana?
","['cuánto', 'cuesta', 'una', 'habitación', 'individual', 'por', 'semana']","['cuánto', 'cuesta', 'una', 'habitación', 'individual', 'por', 'semana']","['how', 'much', 'does', 'a', 'single', 'room', 'cost', 'per', 'week']"
