,vref,source,target,translation_score
0,GEN 1:1,am,in,0.9109447440879194
1,GEN 1:1,am,the,0.0025948731870579886
2,GEN 1:1,am,beginning,3.3887619850170754e-44
3,GEN 1:1,am,god,2.696010048902261e-44
4,GEN 1:1,am,created,3.3887619850170754e-44
5,GEN 1:1,am,the,0.0025948731870579886
6,GEN 1:1,am,heaven,3.3887619850170754e-44
7,GEN 1:1,am,and,2.696010048902261e-44
8,GEN 1:1,am,the,0.0025948731870579886
9,GEN 1:1,am,earth,2.696010048902261e-44
10,GEN 1:1,anfang,in,3.3887619850170754e-44
11,GEN 1:1,anfang,the,0.00045581297153797826
12,GEN 1:1,anfang,beginning,0.9109447440879194
13,GEN 1:1,anfang,god,2.828980121632878e-44
14,GEN 1:1,anfang,created,3.3887619850170754e-44
15,GEN 1:1,anfang,the,0.00045581297153797826
16,GEN 1:1,anfang,heaven,3.3887619850170754e-44
17,GEN 1:1,anfang,and,2.828980121632878e-44
18,GEN 1:1,anfang,the,0.00045581297153797826
19,GEN 1:1,anfang,earth,2.828980121632878e-44
20,GEN 1:1,schuf,in,3.3887619850170754e-44
21,GEN 1:1,schuf,the,3.3661819368257673e-44
22,GEN 1:1,schuf,beginning,3.3887619850170754e-44
23,GEN 1:1,schuf,god,9.238474430325982e-41
24,GEN 1:1,schuf,created,0.9109447440879194
25,GEN 1:1,schuf,the,3.3661819368257673e-44
26,GEN 1:1,schuf,heaven,3.3887619850170754e-44
27,GEN 1:1,schuf,and,3.3347055053981686e-44
28,GEN 1:1,schuf,the,3.3661819368257673e-44
29,GEN 1:1,schuf,earth,3.3347055053981686e-44
30,GEN 1:1,gott,in,3.3887619850170754e-44
31,GEN 1:1,gott,the,0.06404997175922418
32,GEN 1:1,gott,beginning,3.3887619850170754e-44
33,GEN 1:1,gott,god,0.8238995817435532
34,GEN 1:1,gott,created,3.3887619850170754e-44
35,GEN 1:1,gott,the,0.06404997175922418
36,GEN 1:1,gott,heaven,3.3887619850170754e-44
37,GEN 1:1,gott,and,0.0005808268161470141
38,GEN 1:1,gott,the,0.06404997175922418
39,GEN 1:1,gott,earth,1.2248831178135886e-44
40,GEN 1:1,himmel,in,3.3887619850170754e-44
41,GEN 1:1,himmel,the,0.0005340689430176316
42,GEN 1:1,himmel,beginning,3.3887619850170754e-44
43,GEN 1:1,himmel,god,2.819010608590727e-44
44,GEN 1:1,himmel,created,3.3887619850170754e-44
45,GEN 1:1,himmel,the,0.0005340689430176316
46,GEN 1:1,himmel,heaven,0.9109447440879194
47,GEN 1:1,himmel,and,2.819010608590727e-44
48,GEN 1:1,himmel,the,0.0005340689430176316
49,GEN 1:1,himmel,earth,2.819010608590727e-44
50,GEN 1:1,und,in,3.3887619850170754e-44
51,GEN 1:1,und,the,0.14610905196998894
52,GEN 1:1,und,beginning,3.3887619850170754e-44
53,GEN 1:1,und,god,0.06149595236501601
54,GEN 1:1,und,created,3.3887619850170754e-44
55,GEN 1:1,und,the,0.14610905196998894
56,GEN 1:1,und,heaven,3.3887619850170754e-44
57,GEN 1:1,und,and,0.46856703561196517
58,GEN 1:1,und,the,0.14610905196998894
59,GEN 1:1,und,earth,1.2248831178135886e-44
60,GEN 1:1,erde,in,3.3887619850170754e-44
61,GEN 1:1,erde,the,1.3883503167252055e-19
62,GEN 1:1,erde,beginning,3.3887619850170754e-44
63,GEN 1:1,erde,god,1.222359287002054e-44
64,GEN 1:1,erde,created,3.3887619850170754e-44
65,GEN 1:1,erde,the,1.3883503167252055e-19
66,GEN 1:1,erde,heaven,3.3887619850170754e-44
67,GEN 1:1,erde,and,1.222359287002054e-44
68,GEN 1:1,erde,the,1.3883503167252055e-19
69,GEN 1:1,erde,earth,0.8862171549333484
70,GEN 1:2,und,and,0.46856703561196517
71,GEN 1:2,und,the,0.14610905196998894
