,vref,source,target,alignment_count,verse_score,alignment_score
0,GEN 1:1,in,am,1,0.7297867766812745,-1
1,GEN 1:1,beginning,anfang,1,0.7297867766812745,-1
2,GEN 1:1,god,gott,1,0.7297867766812745,-1
3,GEN 1:1,created,schuf,1,0.7297867766812745,-1
4,GEN 1:1,heaven,himmel,1,0.7297867766812745,-1
5,GEN 1:1,and,und,1,0.7297867766812745,-1
6,GEN 1:1,the,und,1,0.7297867766812745,-1
7,GEN 1:1,earth,erde,1,0.7297867766812745,-1
8,GEN 1:2,and,und,1,0.282010331618329,-1
9,GEN 1:2,and,die,1,0.282010331618329,-1
10,GEN 1:2,earth,erde,1,0.282010331618329,-1
11,GEN 1:2,was,war,1,0.282010331618329,-1
12,GEN 1:2,without,und,1,0.282010331618329,-1
13,GEN 1:2,form,und,1,0.282010331618329,-1
14,GEN 1:2,and,wüst,1,0.282010331618329,-1
15,GEN 1:2,void,und,1,0.282010331618329,-1
16,GEN 1:2,and,leer,1,0.282010331618329,-1
17,GEN 1:2,darkness,und,1,0.282010331618329,-1
18,GEN 1:2,was,es,1,0.282010331618329,-1
19,GEN 1:2,was,war,1,0.282010331618329,-1
20,GEN 1:2,upon,auf,1,0.282010331618329,-1
21,GEN 1:2,the,finster,1,0.282010331618329,-1
22,GEN 1:2,face,auf,1,0.282010331618329,-1
23,GEN 1:2,of,auf,1,0.282010331618329,-1
24,GEN 1:2,the,der,1,0.282010331618329,-1
25,GEN 1:2,deep,der,1,0.282010331618329,-1
26,GEN 1:2,and,und,1,0.282010331618329,-1
27,GEN 1:2,the,tiefe,1,0.282010331618329,-1
28,GEN 1:2,spirit,der,1,0.282010331618329,-1
29,GEN 1:2,of,geist,1,0.282010331618329,-1
30,GEN 1:2,upon,auf,1,0.282010331618329,-1
31,GEN 1:2,the,gottes,1,0.282010331618329,-1
32,GEN 1:2,the,schwebte,1,0.282010331618329,-1
33,GEN 1:2,face,auf,1,0.282010331618329,-1
34,GEN 1:2,of,auf,1,0.282010331618329,-1
35,GEN 1:2,of,dem,1,0.282010331618329,-1
36,GEN 1:2,waters,wasser,1,0.282010331618329,-1
37,GEN 1:3,and,und,1,0.6161210613185989,-1
38,GEN 1:3,god,gott,1,0.6161210613185989,-1
39,GEN 1:3,said,sprach,1,0.6161210613185989,-1
40,GEN 1:3,let,sprach,1,0.6161210613185989,-1
41,GEN 1:3,there,es,1,0.6161210613185989,-1
42,GEN 1:3,be,werde,1,0.6161210613185989,-1
43,GEN 1:3,light,licht,1,0.6161210613185989,-1
44,GEN 1:3,and,und,1,0.6161210613185989,-1
45,GEN 1:3,and,ward,1,0.6161210613185989,-1
46,GEN 1:3,there,es,1,0.6161210613185989,-1
47,GEN 1:3,was,es,1,0.6161210613185989,-1
48,GEN 1:3,light,licht,1,0.6161210613185989,-1
49,GEN 1:4,and,und,1,0.607813186821116,-1
50,GEN 1:4,god,gott,1,0.607813186821116,-1
51,GEN 1:4,saw,sah,1,0.607813186821116,-1
52,GEN 1:4,saw,daß,1,0.607813186821116,-1
53,GEN 1:4,light,das,1,0.607813186821116,-1
54,GEN 1:4,light,licht,1,0.607813186821116,-1
55,GEN 1:4,that,das,1,0.607813186821116,-1
56,GEN 1:4,it,gut,1,0.607813186821116,-1
57,GEN 1:4,was,war,1,0.607813186821116,-1
58,GEN 1:4,good,da,1,0.607813186821116,-1
59,GEN 1:4,and,da,1,0.607813186821116,-1
60,GEN 1:4,god,gott,1,0.607813186821116,-1
61,GEN 1:4,divided,schied,1,0.607813186821116,-1
62,GEN 1:4,divided,das,1,0.607813186821116,-1
63,GEN 1:4,light,licht,1,0.607813186821116,-1
64,GEN 1:4,from,von,1,0.607813186821116,-1
65,GEN 1:4,the,der,1,0.607813186821116,-1
66,GEN 1:4,darkness,finsternis,1,0.607813186821116,-1
67,GEN 1:5,and,und,1,0.4653693328642907,-1
68,GEN 1:5,god,und,1,0.4653693328642907,-1
69,GEN 1:5,called,nannte,1,0.4653693328642907,-1
70,GEN 1:5,light,das,1,0.4653693328642907,-1
71,GEN 1:5,light,licht,1,0.4653693328642907,-1
72,GEN 1:5,day,tag,1,0.4653693328642907,-1
73,GEN 1:5,and,und,1,0.4653693328642907,-1
74,GEN 1:5,and,die,1,0.4653693328642907,-1
75,GEN 1:5,darkness,finsternis,1,0.4653693328642907,-1
76,GEN 1:5,he,finsternis,1,0.4653693328642907,-1
77,GEN 1:5,called,nacht,1,0.4653693328642907,-1
78,GEN 1:5,night,da,1,0.4653693328642907,-1
79,GEN 1:5,and,da,1,0.4653693328642907,-1
80,GEN 1:5,and,ward,1,0.4653693328642907,-1
81,GEN 1:5,the,aus,1,0.4653693328642907,-1
82,GEN 1:5,evening,aus,1,0.4653693328642907,-1
83,GEN 1:5,and,und,1,0.4653693328642907,-1
84,GEN 1:5,the,abend,1,0.4653693328642907,-1
85,GEN 1:5,the,morgen,1,0.4653693328642907,-1
86,GEN 1:5,morning,morgen,1,0.4653693328642907,-1
87,GEN 1:5,were,morgen,1,0.4653693328642907,-1
88,GEN 1:5,the,der,1,0.4653693328642907,-1
89,GEN 1:5,first,erste,1,0.4653693328642907,-1
90,GEN 1:5,day,tag,1,0.4653693328642907,-1
