vref,target,reference
GEN 40:4,"And the captain of the guard charged Joseph with them, and he served them: and they continued a season in ward.","And the captain of the guard charged Joseph with them, and he served them: and they continued a season in ward."
GEN 40:5,"¶ And they dreamed a dream both of them, each man his dream in one night, each man according to the interpretation of his dream, the butler and the baker of the king of Egypt, which were bound in the prison.","¶ And they dreamed a dream both of them, each man his dream in one night, each man according to the interpretation of his dream, the butler and the baker of the king of Egypt, which were bound in the prison."
GEN 40:6,"And Joseph came in unto them in the morning, and looked upon them, and, behold, they were sad.","And Joseph came in unto them in the morning, and looked upon them, and, behold, they were sad."
GEN 40:7,"And he asked Pharaoh’s officers that were with him in the ward of his lord’s house, saying, Wherefore look ye so sadly to day?","And he asked Pharaoh’s officers that were with him in the ward of his lord’s house, saying, Wherefore look ye so sadly to day?"
GEN 40:8,"And they said unto him, We have dreamed a dream, and there is no interpreter of it. And Joseph said unto them, Do not interpretations belong to God? tell me them, I pray you.","And they said unto him, We have dreamed a dream, and there is no interpreter of it. And Joseph said unto them, Do not interpretations belong to God? tell me them, I pray you."
GEN 40:9,"And the chief butler told his dream to Joseph, and said to him, In my dream, behold, a vine was before me;","And the chief butler told his dream to Joseph, and said to him, In my dream, behold, a vine was before me;"
GEN 40:10,"And in the vine were three branches: and it was as though it budded, and her blossoms shot forth; and the clusters thereof brought forth ripe grapes:","And in the vine were three branches: and it was as though it budded, and her blossoms shot forth; and the clusters thereof brought forth ripe grapes:"
GEN 40:11,"And Pharaoh’s cup was in my hand: and I took the grapes, and pressed them into Pharaoh’s cup, and I gave the cup into Pharaoh’s hand.","And Pharaoh’s cup was in my hand: and I took the grapes, and pressed them into Pharaoh’s cup, and I gave the cup into Pharaoh’s hand."
GEN 40:12,"And Joseph said unto him, This is the interpretation of it: The three branches are three days:","And Joseph said unto him, This is the interpretation of it: The three branches are three days:"
GEN 40:13,"Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and thou shalt deliver Pharaoh’s cup into his hand, after the former manner when thou wast his butler.","Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and thou shalt deliver Pharaoh’s cup into his hand, after the former manner when thou wast his butler."
