source,target,co-occurrence_count,translation_score
!,",",1,0.0
!,.,1,0.0
!,:,1,0.818
!,and,2,0.0
!,be,1,0.0
!,god,1,0.0
!,let,1,0.0
!,light,2,0.0
!,said,1,0.0
!,there,2,0.0
!,was,1,0.0
",",",",2,0.0
",",.,3,0.0
",",:,1,0.0
",",;,1,0.0
",",and,6,0.04944
",",darkness,2,0.0
",",deep,1,0.0
",",divided,1,0.0
",",earth,1,0.0
",",face,2,0.0
",",form,1,0.0
",",from,1,0.0
",",god,3,0.0
",",good,1,0.0
",",it,1,0.0
",",light,2,0.0
",",moved,1,0.0
",",of,3,0.0
",",saw,1,0.0
",",spirit,1,0.0
",",that,1,0.0
",",the,9,0.02307
",",upon,2,0.0
",",void,1,0.0
",",was,3,0.0
",",waters,1,0.0
",",without,1,0.0
.,",",4,0.0
.,.,7,0.9014
.,:,2,0.0
.,;,1,0.0
.,and,13,0.0
.,be,1,0.0
.,beginning,1,0.0
.,called,2,0.0
.,created,1,0.0
.,darkness,3,0.0
.,day,2,0.0
.,deep,1,0.0
.,divided,1,0.0
.,earth,2,0.0
.,evening,1,0.0
.,face,2,0.0
.,first,1,0.0
.,form,1,0.0
.,from,1,0.0
.,god,6,0.0
.,good,1,0.0
.,he,1,0.0
.,heaven,1,0.0
.,in,1,0.0
.,it,1,0.0
.,let,1,0.0
.,light,5,0.0
.,morning,1,0.0
.,moved,1,0.0
.,night,1,6e-08
.,of,3,0.0
.,said,1,0.0
.,saw,1,0.0
.,spirit,1,0.0
.,that,1,0.0
.,the,17,0.0852
.,there,2,0.0
.,upon,2,0.0
.,void,1,0.0
.,was,4,0.0
.,waters,1,0.0
.,were,1,0.0
.,without,1,0.0
:,",",1,0.0
:,.,1,0.0
:,:,1,0.0
:,and,2,0.0
:,be,1,0.0
:,god,1,0.0
:,let,1,0.872
:,light,2,0.0
:,said,1,0.0
:,there,2,0.0
:,was,1,0.0
;,",",1,0.0
;,.,2,0.0
;,;,1,0.0
;,and,4,0.0
;,darkness,1,0.0
;,deep,1,0.0
;,earth,1,0.0
;,face,2,0.0
;,form,1,0.0
;,god,1,0.0
;,moved,1,0.0
;,of,3,0.0
;,spirit,1,0.0
;,the,6,0.03412
;,upon,2,0.0
;,void,1,0.0
;,was,2,0.0
;,waters,1,0.0
;,without,1,0.0
abend,",",1,0.0
abend,.,2,0.0
abend,and,4,0.0
abend,called,2,0.0
abend,darkness,1,0.0
abend,day,2,0.0
abend,evening,1,0.708
abend,first,1,0.0
abend,god,1,0.0
abend,he,1,0.0
abend,light,1,0.0
abend,morning,1,0.0
abend,night,1,0.0
abend,the,5,0.03412
abend,were,1,0.0
am,.,1,0.0
am,and,1,0.0
am,beginning,1,0.0
am,created,1,0.0
am,earth,1,0.0
am,god,1,0.0
am,heaven,1,0.0
am,in,1,0.8975
am,the,3,0.0
anfang,.,1,0.0
anfang,and,1,0.0
anfang,beginning,1,0.8975
anfang,created,1,0.0
anfang,earth,1,0.0
anfang,god,1,0.0
anfang,heaven,1,0.0
anfang,in,1,0.0
anfang,the,3,0.02776
auf,",",1,0.0
auf,.,2,0.0
auf,;,1,0.0
auf,and,4,0.0
auf,darkness,1,0.0
auf,deep,1,0.0
auf,earth,1,0.0
auf,face,2,0.2362
auf,form,1,0.0
auf,god,1,0.0
auf,moved,1,0.0
auf,of,3,0.3618
auf,spirit,1,0.0
auf,the,6,0.0001138
auf,upon,2,0.2285
auf,void,1,0.0
auf,was,2,0.0
auf,waters,1,0.0
auf,without,1,0.0
aus,",",1,0.0
aus,.,2,0.0
aus,and,4,0.0
aus,called,2,0.0
aus,darkness,1,0.0
aus,day,2,0.0
aus,evening,1,0.3376
aus,first,1,0.0
aus,god,1,0.0
aus,he,1,0.0
aus,light,1,0.0
aus,morning,1,0.0
aus,night,1,0.0
aus,the,5,0.03412
aus,were,1,0.0
da,",",2,0.0
da,.,3,0.0
da,:,1,0.0
da,and,6,0.0855
da,called,2,0.0
da,darkness,2,0.0
da,day,2,0.0
da,divided,1,0.0
da,evening,1,0.0
da,first,1,0.0
da,from,1,0.0
da,god,3,0.0
da,good,1,0.0
da,he,1,0.0
da,it,1,0.0
da,light,3,0.0
da,morning,1,0.0
da,night,1,0.6167
da,saw,1,0.0
da,that,1,0.0
da,the,8,0.0006127
da,was,1,0.0
da,were,1,0.0
das,",",2,0.0
das,.,3,0.0
das,:,1,0.0
das,and,6,0.0
das,called,2,0.0
das,darkness,2,0.0
das,day,2,0.0
das,divided,1,0.0
das,evening,1,0.0
das,first,1,0.0
das,from,1,0.0
das,god,3,0.0
das,good,1,0.0
das,he,1,0.0
das,it,1,0.0
das,light,3,0.2834
das,morning,1,0.0
das,night,1,0.0
das,saw,1,0.0
das,that,1,0.3374
das,the,8,0.1902
das,was,1,0.0
das,were,1,0.0
daß,",",1,0.0
daß,.,1,0.0
daß,:,1,0.0
daß,and,2,0.0
daß,darkness,1,0.0
daß,divided,1,0.0
daß,from,1,0.0
daß,god,2,0.0
daß,good,1,0.0
daß,it,1,0.0
daß,light,2,0.0
daß,saw,1,0.0
daß,that,1,0.8057
daß,the,3,0.0
daß,was,1,0.0
dem,",",1,0.0
dem,.,2,0.0
dem,;,1,0.0
dem,and,4,0.0
dem,darkness,1,0.0
dem,deep,1,0.0
dem,earth,1,0.0
dem,face,2,0.0
dem,form,1,0.0
dem,god,1,0.0
dem,moved,1,0.0
dem,of,3,0.1315
dem,spirit,1,0.0
dem,the,6,7e-06
dem,upon,2,0.0
dem,void,1,0.0
dem,was,2,0.0
dem,waters,1,0.0
dem,without,1,0.0
der,",",3,0.0
der,.,5,0.1151
der,:,1,0.0
der,;,1,0.0
der,and,10,0.0
der,called,2,0.0
der,darkness,3,0.0
der,day,2,0.0
der,deep,1,0.07855
der,divided,1,0.0
der,earth,1,0.0
der,evening,1,0.0
der,face,2,0.0
der,first,1,0.0
der,form,1,0.0
der,from,1,0.0
der,god,4,0.0
der,good,1,0.0
der,he,1,0.0
der,it,1,0.0
der,light,3,0.0
der,morning,1,0.0
der,moved,1,0.0
der,night,1,0.0
der,of,3,0.0036
der,saw,1,0.0
der,spirit,1,0.07855
der,that,1,0.0
der,the,14,0.458
der,upon,2,0.0
der,void,1,0.0
der,was,3,0.0
der,waters,1,0.0
der,were,1,0.0
der,without,1,0.0
die,",",2,0.0
die,.,4,0.0
die,;,1,0.0
die,and,8,0.6543
die,called,2,0.0
die,darkness,2,0.0
die,day,2,0.0
die,deep,1,0.0
die,earth,1,0.0
die,evening,1,0.0
die,face,2,0.0
die,first,1,0.0
die,form,1,0.0
die,god,2,0.0
die,he,1,0.0
die,light,1,0.0
die,morning,1,0.0
die,moved,1,0.0
die,night,1,0.0
die,of,3,0.0
die,spirit,1,0.0
die,the,11,0.00744
die,upon,2,0.0
die,void,1,0.0
die,was,2,0.0
die,waters,1,0.0
die,were,1,0.0
die,without,1,0.0
erde,",",1,0.0
erde,.,3,0.0
erde,;,1,0.0
erde,and,5,0.0
erde,beginning,1,0.0
erde,created,1,0.0
erde,darkness,1,0.0
erde,deep,1,0.0
erde,earth,2,0.871
erde,face,2,0.0
erde,form,1,0.0
erde,god,2,0.0
erde,heaven,1,0.0
erde,in,1,0.0
erde,moved,1,0.0
erde,of,3,0.0
erde,spirit,1,0.0
erde,the,9,1e-06
erde,upon,2,0.0
erde,void,1,0.0
erde,was,2,0.0
erde,waters,1,0.0
erde,without,1,0.0
erste,",",1,0.0
erste,.,2,0.0
erste,and,4,0.0
erste,called,2,0.0
erste,darkness,1,0.0
erste,day,2,0.0
erste,evening,1,0.0
erste,first,1,0.8066
erste,god,1,0.0
erste,he,1,0.0
erste,light,1,0.0
erste,morning,1,0.0
erste,night,1,0.0
erste,the,5,0.03406
erste,were,1,0.0
es,",",2,0.0
es,.,3,0.0
es,:,1,0.0
es,;,1,0.0
es,and,6,0.00151
es,be,1,0.0
es,darkness,1,0.0
es,deep,1,0.0
es,earth,1,0.0
es,face,2,0.0
es,form,1,0.0
es,god,2,0.0
es,let,1,0.0
es,light,2,0.0
es,moved,1,0.0
es,of,3,0.0
es,said,1,0.0
es,spirit,1,0.0
es,the,6,0.0
es,there,2,0.8066
es,upon,2,0.0
es,void,1,0.0
es,was,3,0.1879
es,waters,1,0.0
es,without,1,0.0
finster,",",1,0.0
finster,.,2,0.0
finster,;,1,0.0
finster,and,4,0.0
finster,darkness,1,0.0
finster,deep,1,0.0
finster,earth,1,0.0
finster,face,2,0.0
finster,form,1,0.0
finster,god,1,0.0
finster,moved,1,0.0
finster,of,3,0.0
finster,spirit,1,0.0
finster,the,6,0.03412
finster,upon,2,0.0
finster,void,1,0.0
finster,was,2,0.0
finster,waters,1,0.0
finster,without,1,0.0
finsternis,",",2,0.0
finsternis,.,3,0.0
finsternis,:,1,0.0
finsternis,and,6,0.0
finsternis,called,2,0.0
finsternis,darkness,2,0.875
finsternis,day,2,0.0
finsternis,divided,1,0.0
finsternis,evening,1,0.0
finsternis,first,1,0.0
finsternis,from,1,0.0
finsternis,god,3,0.0
finsternis,good,1,0.0
finsternis,he,1,0.0
finsternis,it,1,0.0
finsternis,light,3,0.0
finsternis,morning,1,0.0
finsternis,night,1,0.0
finsternis,saw,1,0.0
finsternis,that,1,0.0
finsternis,the,8,0.0
finsternis,was,1,0.0
finsternis,were,1,0.0
geist,",",1,0.0
geist,.,2,0.0
geist,;,1,0.0
geist,and,4,0.0
geist,darkness,1,0.0
geist,deep,1,0.0
geist,earth,1,0.0
geist,face,2,0.0
geist,form,1,0.0
geist,god,1,0.0
geist,moved,1,0.0
geist,of,3,0.1381
geist,spirit,1,0.0
geist,the,6,5.4e-07
geist,upon,2,0.0
geist,void,1,0.0
geist,was,2,0.0
geist,waters,1,0.0
geist,without,1,0.0
gott,",",2,0.0
gott,.,3,0.0
gott,:,2,0.0
gott,and,5,2.1e-06
gott,be,1,0.0
gott,beginning,1,0.0
gott,created,1,0.0
gott,darkness,1,0.0
gott,divided,1,0.0
gott,earth,1,0.0
gott,from,1,0.0
gott,god,4,0.8657
gott,good,1,0.0
gott,heaven,1,0.0
gott,in,1,0.0
gott,it,1,0.0
gott,let,1,0.0
gott,light,4,0.0
gott,said,1,0.0
gott,saw,1,0.0
gott,that,1,0.0
gott,the,6,0.12177
gott,there,2,0.0
gott,was,2,0.0
gottes,",",1,0.0
gottes,.,2,0.0
gottes,;,1,0.0
gottes,and,4,0.0
gottes,darkness,1,0.0
gottes,deep,1,0.0
gottes,earth,1,0.0
gottes,face,2,0.0
gottes,form,1,0.0
gottes,god,1,0.0
gottes,moved,1,0.7715
gottes,of,3,0.010056
gottes,spirit,1,0.0
gottes,the,6,0.01785
gottes,upon,2,0.0
gottes,void,1,0.0
gottes,was,2,0.0
gottes,waters,1,0.0
gottes,without,1,0.0
gut,",",1,0.0
gut,.,1,0.0
gut,:,1,0.0
gut,and,2,0.0
gut,darkness,1,0.0
gut,divided,1,0.0
gut,from,1,0.0
gut,god,2,0.0
gut,good,1,0.265
gut,it,1,0.739
gut,light,2,0.0
gut,saw,1,0.0
gut,that,1,0.0
gut,the,3,0.0
gut,was,1,0.0
himmel,.,1,0.0
himmel,and,1,0.0
himmel,beginning,1,0.0
himmel,created,1,0.0
himmel,earth,1,0.0
himmel,god,1,0.0
himmel,heaven,1,0.8975
himmel,in,1,0.0
himmel,the,3,0.00012183
leer,",",1,0.0
leer,.,2,0.0
leer,;,1,0.0
leer,and,4,0.037
leer,darkness,1,0.0
leer,deep,1,0.0
leer,earth,1,0.0
leer,face,2,0.0
leer,form,1,0.0
leer,god,1,0.0
leer,moved,1,0.0
leer,of,3,0.0
leer,spirit,1,0.0
leer,the,6,0.0
leer,upon,2,0.0
leer,void,1,0.0
leer,was,2,0.0
leer,waters,1,0.0
leer,without,1,0.0
licht,",",3,6.66e-05
licht,.,4,0.0
licht,:,2,0.12244
licht,and,8,0.0
licht,be,1,0.0
licht,called,2,0.0
licht,darkness,2,0.0
licht,day,2,0.0
licht,divided,1,0.0
licht,evening,1,0.0
licht,first,1,0.0
licht,from,1,0.0
licht,god,4,0.0
licht,good,1,0.0
licht,he,1,0.0
licht,it,1,0.0
licht,let,1,0.0
licht,light,5,0.709
licht,morning,1,0.0
licht,night,1,0.0
licht,said,1,0.0
licht,saw,1,0.0
licht,that,1,0.0
licht,the,8,0.0
licht,there,2,0.0
licht,was,2,0.00079
licht,were,1,0.0
