vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.1329,213.4,0.5093,169.6,0.795,0.3655,183.0,0.6694068119846187,0.40770607375118034
MAT 1:2,0.1923,1834.0,0.5933,1308.0,0.7646,0.4885,1064.0,0.48560211587436475,0.4845167622241142
MAT 1:3,0.1539,1595.0,0.505,1123.0,0.739,0.5776,896.0,0.4448648745061186,0.474856538519231
MAT 1:4,0.2267,1571.0,0.6333,1048.0,0.8413,0.604,799.5,0.3450199009363402,0.5554599133730883
MAT 1:5,0.147,1162.0,0.4448,749.5,0.6445,0.548,601.5,0.42571802947607695,0.4416754565221213
MAT 1:6,0.1299,1306.0,0.563,848.0,0.764,0.553,682.0,0.48098989928662356,0.47970976768538887
MAT 1:7,0.2267,1572.0,0.576,1049.0,0.8413,0.6567,800.0,0.36842515576880724,0.5514262616794009
MAT 1:8,0.2267,1571.0,0.607,1047.0,0.8413,0.6997,799.5,0.3035966492921208,0.5735390657109368
MAT 1:9,0.2267,1571.0,0.607,1047.0,0.8413,0.6997,799.5,0.3035966492921208,0.5735251148180797
MAT 1:10,0.2267,1571.0,0.6143,1048.0,0.8413,0.628,799.5,0.3495428802979798,0.5557229948348608
MAT 1:11,0.0907,1662.0,0.5596,1180.0,0.7725,0.5684,965.5,0.40616021621199266,0.4866128308121722
MAT 1:12,0.1716,1228.0,0.523,820.0,0.7944,0.5464,628.0,0.5295855612009119,0.47411389888789646
MAT 1:13,0.2267,1571.0,0.6245,1048.0,0.8413,0.652,799.5,0.3228642730887305,0.5654756207520751
MAT 1:14,0.2267,1571.0,0.607,1047.0,0.8413,0.6997,799.5,0.3035966492921208,0.5735251148180797
MAT 1:15,0.2267,1574.0,0.6064,1051.0,0.8257,0.669,802.0,0.3379996288259077,0.5604425513915288
MAT 1:16,0.1681,1100.0,0.4531,701.0,0.6777,0.3508,608.0,0.6001997917438758,0.39183352207424943
MAT 1:17,0.1177,1421.0,0.517,999.0,0.747,0.449,797.0,0.5968560120919173,0.42567386878555813
MAT 1:18,0.0564,689.0,0.4214,479.8,0.681,0.3164,415.8,0.6112882778644522,0.35517095224185
MAT 1:19,0.08905,1303.0,0.3298,914.5,0.7046,0.2325,734.0,0.7068435144475274,0.3182860761100082
MAT 1:20,0.04922,750.0,0.4834,510.8,0.738,0.3872,490.2,0.5020903826319701,0.40639284928474373
MAT 1:21,0.10876,1708.0,0.449,701.5,0.705,0.3503,1050.0,0.507966578599764,0.39965992149696067
MAT 1:22,0.3113,1033.0,0.3813,624.0,0.653,0.1547,569.5,0.7263602863140008,0.3444540190498205
MAT 1:23,0.1243,1096.0,0.4368,798.5,0.762,0.2808,659.5,0.6331100214002352,0.37810272174708254
MAT 1:24,0.1099,1321.0,0.3848,913.5,0.691,0.301,777.0,0.5848521675449401,0.36178454098971613
MAT 1:25,0.1466,1562.0,0.3716,678.5,0.67,0.321,1092.0,0.5501675555410549,0.3717770846718658
MAT 2:1,0.09296,835.0,0.4207,590.0,0.7515,0.3877,489.2,0.5393458831299595,0.4020635194514731
MAT 2:2,0.10956,1504.0,0.4268,940.0,0.682,0.321,921.5,0.6114871290777639,0.366279655030372
MAT 2:3,0.1102,2244.0,0.4336,341.0,0.595,0.4167,1294.0,0.5196177292121732,0.3850459376909525
MAT 2:4,0.1407,1479.0,0.3567,979.0,0.6123,0.2795,843.0,0.5839572559393841,0.34364220260164363
MAT 2:5,0.1016,1708.0,0.4343,877.0,0.6074,0.3813,984.0,0.5436490408584802,0.37574708534759266
MAT 2:6,0.1023,1176.0,0.384,848.5,0.7256,0.2734,691.5,0.6203532836147501,0.3572645598721543
MAT 2:7,0.1544,960.0,0.3413,667.0,0.8467,0.2269,510.0,0.7236374177422222,0.35633152218022307
MAT 2:8,0.04022,1082.0,0.3862,753.5,0.63,0.2307,651.0,0.6005136375970546,0.3213480787742129
MAT 2:9,0.0943,1044.0,0.2903,719.0,0.6357,0.1823,612.5,0.6878024977380524,0.2917679709355502
MAT 2:10,0.1313,1373.0,0.3657,933.0,0.6323,0.269,713.0,0.6351214967774425,0.33866317191735146
MAT 2:11,0.11053,970.0,0.4946,681.0,0.827,0.3562,556.5,0.5201040797631358,0.43168772488070994
MAT 2:12,0.05273,1379.0,0.2615,273.8,0.5273,0.2491,771.5,0.696607940075423,0.26591650446176207
MAT 2:13,0.05426,1021.5,0.4265,629.5,0.7266,0.3428,614.0,0.557437509075438,0.37832790200827215
MAT 2:14,0.10376,1834.0,0.381,1093.0,0.5757,0.3816,1041.0,0.5359864863241822,0.3601833758858459
MAT 2:15,0.12,1013.0,0.4363,734.5,0.7686,0.3079,616.0,0.5294021909205167,0.3992063429446181
MAT 2:16,0.0615,776.5,0.29,567.5,0.5874,0.2578,467.8,0.6488739132111931,0.293622898386156
MAT 2:17,0.2554,1338.0,0.5093,916.0,0.824,0.3074,680.0,0.518211791633402,0.4540126888706825
MAT 2:18,0.08276,1087.0,0.4019,479.5,0.738,0.3171,642.0,0.6102285544772938,0.36802816309766523
MAT 2:19,0.1727,1012.0,0.5146,707.0,0.771,0.4268,570.0,0.5244676000710629,0.44753895671940774
MAT 2:20,0.10455,1337.0,0.386,908.5,0.6465,0.266,786.0,0.5683739026578742,0.3487324454790081
MAT 2:21,0.0899,1892.0,0.3215,1128.0,0.5723,0.3027,1065.0,0.5605852756058104,0.327049457061736
MAT 2:22,0.0973,744.0,0.2974,461.0,0.6064,0.2932,436.2,0.6176617367628209,0.31801353853927217
MAT 2:23,0.10724,1198.0,0.3647,834.5,0.6895,0.29,706.5,0.622356649251916,0.34996436216221793
MAT 3:1,0.1478,1164.0,0.3826,794.0,0.727,0.3037,631.0,0.5898140048139361,0.37585173829002366
MAT 3:2,0.15,1894.0,0.5166,1280.0,0.8154,0.5454,1074.0,0.3671401527041703,0.5010261063722569
MAT 3:3,0.04297,884.0,0.4182,581.5,0.6763,0.2998,548.5,0.5711662929286402,0.3548227293574135
MAT 3:4,0.10175,1291.0,0.4846,411.2,0.743,0.4124,764.0,0.5826487343991102,0.4115750222525545
MAT 3:5,0.10693,2094.0,0.3801,1251.0,0.568,0.448,1222.0,0.46219926908305503,0.3824703502540295
MAT 3:6,0.1938,1882.0,0.521,1394.0,0.802,0.4277,1097.0,0.4657863800724821,0.4714229091317577
MAT 3:7,0.0821,920.5,0.4678,572.5,0.754,0.3635,633.5,0.5412664840544577,0.4039799837697257
MAT 3:8,0.1037,1736.0,0.214,1183.0,0.4316,0.1389,855.5,0.8367431757287745,0.20240011300623661
MAT 3:9,0.0611,1111.0,0.3452,386.0,0.643,0.2595,687.0,0.634167274833864,0.3207051677359295
MAT 3:10,0.09125,959.5,0.5425,692.0,0.7925,0.2969,549.0,0.5937673368690138,0.4082261450667324
MAT 3:11,0.0678,1095.0,0.3953,748.5,0.7183,0.3093,672.5,0.6212862760483736,0.35642408172246437
MAT 3:12,0.0777,806.0,0.409,520.0,0.6226,0.451,480.8,0.4512122941484752,0.39468655572955513
MAT 3:13,0.2534,1470.0,0.4001,754.0,0.706,0.4124,852.0,0.513770140074233,0.4291768994481741
MAT 3:14,0.1097,1978.0,0.4287,984.5,0.67,0.3074,1132.0,0.5666020087186474,0.3706538253321109
MAT 3:15,0.04813,995.0,0.2617,346.8,0.4595,0.1835,640.0,0.6577835103623509,0.2467048290358534
MAT 3:16,0.1252,1045.0,0.519,793.0,0.786,0.2903,644.5,0.5397324006770996,0.4165325843474871
MAT 3:17,0.1553,1741.0,0.4265,659.5,0.641,0.359,1112.0,0.5666878020460013,0.382420559575601
MAT 4:1,0.17,1212.0,0.5464,870.0,0.8604,0.3896,676.0,0.5203553660812598,0.4658930950688416
MAT 4:2,0.1687,864.0,0.496,710.5,0.8394,0.291,566.0,0.6611011321778124,0.40998521928881765
MAT 4:3,0.1158,1416.0,0.484,1050.0,0.7607,0.3225,879.0,0.4975881525156899,0.4146136118277089
MAT 4:4,0.0803,954.0,0.3762,620.0,0.7095,0.244,585.5,0.6011443207183413,0.3459777269899964
MAT 4:5,0.1764,1782.0,0.4092,774.0,0.677,0.3357,948.0,0.5326235217619042,0.3925984382375739
MAT 4:6,0.0642,973.0,0.3794,687.5,0.7114,0.2542,596.5,0.6086058688073571,0.3430938943329507
MAT 4:7,0.1367,1991.0,0.455,1179.0,0.7603,0.4116,1197.0,0.5025223071084848,0.43001547968957204
MAT 4:8,0.1571,1338.0,0.5083,960.5,0.7944,0.3035,785.5,0.5719487093789765,0.4192491909896268
MAT 4:9,0.1035,1336.0,0.4158,896.0,0.7007,0.3257,912.0,0.5127187015310233,0.38604126698960894
MAT 4:10,0.092,1634.0,0.4722,1191.0,0.751,0.4138,1020.0,0.45078491151470246,0.4310378847500369
MAT 4:11,0.2157,2154.0,0.3657,1296.0,0.703,0.3142,1255.0,0.5933312685122318,0.3837522782886294
MAT 4:12,0.1764,721.0,0.3804,174.5,0.6313,0.3042,518.5,0.5023135814237318,0.3753783930420255
MAT 4:13,0.1447,1493.0,0.4836,1066.0,0.8584,0.432,857.5,0.567883538967139,0.4456935972010678
MAT 4:14,0.2388,1414.0,0.4622,970.0,0.7686,0.334,749.0,0.4905220856106169,0.438079983930196
MAT 4:15,0.09204,1503.0,0.595,1106.0,0.8135,0.575,835.5,0.2969495171075321,0.519343509244595
MAT 4:16,0.12103,1395.0,0.506,975.5,0.863,0.3308,825.0,0.5579519214084471,0.4342254468588672
MAT 4:17,0.1047,1583.0,0.498,1162.0,0.853,0.4412,974.0,0.4503252415807768,0.4645130590411449
MAT 4:18,0.0663,996.0,0.506,681.0,0.759,0.3923,602.5,0.5148854215852025,0.41857073793331373
MAT 4:19,0.1133,1267.0,0.3652,930.0,0.7197,0.2532,847.5,0.6273609233489326,0.3472530141512763
MAT 4:20,0.2001,1195.0,0.3281,209.1,0.6724,0.3005,837.0,0.6268007870414091,0.3602810785344096
MAT 4:21,0.0646,1057.0,0.5703,794.0,0.8755,0.4595,639.0,0.44532209414046003,0.4764687701935632
MAT 4:22,0.0735,2432.0,0.492,1514.0,0.8013,0.3918,1378.0,0.43183342264922137,0.43887972010836385
MAT 4:23,0.143,1183.0,0.4807,830.5,0.8403,0.389,693.0,0.44111908986934484,0.4568811670457418
MAT 4:24,0.06073,940.5,0.324,376.5,0.7075,0.2632,633.0,0.6584913328430441,0.32710103453075745
MAT 4:25,0.0971,1408.0,0.544,1043.0,0.838,0.4814,820.5,0.3426339072666827,0.49101298423224193
MAT 5:1,0.10284,1844.0,0.3992,1143.0,0.6987,0.2766,1052.0,0.5262799626945894,0.3702159311811384
MAT 5:2,0.5493,2664.0,0.2893,863.5,0.3748,0.3042,1782.0,0.5519762170218693,0.3746931617211368
MAT 5:3,0.126,1568.0,0.536,1020.0,0.708,0.4368,876.5,0.5174125912284656,0.43431633588958635
MAT 5:4,0.279,1160.0,0.487,270.5,0.656,0.2117,837.0,0.7418095060542357,0.37046376825987354
MAT 5:5,0.2935,1747.0,0.506,1106.0,0.7075,0.367,940.5,0.5733389636525017,0.44108494018373284
MAT 5:6,0.2183,2394.0,0.4756,809.5,0.702,0.2827,1449.0,0.8775530639833645,0.3475593973004954
MAT 5:7,0.2009,2608.0,0.446,408.8,0.604,0.367,1536.0,0.7543202223071205,0.36372682033511583
MAT 5:8,0.2484,444.8,0.489,242.6,0.704,0.2617,365.0,0.606665225584095,0.40457167541945804
MAT 5:9,0.1864,1672.0,0.3784,1096.0,0.7476,0.2788,940.5,0.7323662679290356,0.3558926544596327
MAT 5:10,0.106,1709.0,0.4497,899.0,0.7114,0.3726,990.5,0.5833735203977842,0.39327290759256905
MAT 5:11,0.1272,914.5,0.4736,663.5,0.8433,0.2744,615.5,0.6351549117464286,0.40252246558189586
MAT 5:12,0.0842,1497.0,0.4211,1077.0,0.7617,0.3232,873.5,0.5607589315358046,0.387097250513485
MAT 5:13,0.10223,929.0,0.3284,503.5,0.5938,0.2355,532.0,0.6658860161680056,0.3054461162560123
MAT 5:14,0.1656,1211.0,0.4775,816.0,0.7705,0.2888,633.0,0.5562252133107505,0.4096074205461733
MAT 5:15,0.1128,1459.0,0.39,901.0,0.747,0.2766,872.5,0.6118775886547853,0.36807830018787885
MAT 5:16,0.08264,1337.0,0.3225,640.5,0.634,0.2084,724.0,0.6169980098788175,0.3109637805465378
MAT 5:17,0.1224,1069.0,0.3428,707.0,0.6914,0.2622,585.5,0.6755145647979601,0.33402461463295335
MAT 5:18,0.10596,1101.0,0.3179,744.0,0.5957,0.29,638.5,0.5929175587793774,0.3258885402546833
MAT 5:19,0.09045,1017.0,0.3713,710.0,0.683,0.26,600.0,0.6303452015815203,0.34024936560569646
MAT 5:20,0.1257,1279.0,0.4482,880.0,0.704,0.3662,749.5,0.49200694262082983,0.40549789486746857
MAT 5:21,0.07825,1268.0,0.292,264.2,0.6494,0.2407,733.0,0.7180799590099565,0.2965235811939093
MAT 5:22,0.06586,1284.0,0.2471,584.5,0.4492,0.2778,748.0,0.7088160998820086,0.25333643925386057
MAT 5:23,0.128,1012.0,0.2793,667.0,0.6836,0.2142,540.5,0.7476738210317552,0.3006571816128153
MAT 5:24,0.1191,1207.0,0.3464,860.0,0.6714,0.2241,667.5,0.5992179011650692,0.33594182122035615
MAT 5:25,0.0614,1257.0,0.3235,754.5,0.6343,0.2744,740.0,0.6306679676579448,0.31789829859871127
MAT 5:26,0.1787,1390.0,0.2998,725.5,0.648,0.2056,669.5,0.669051140338303,0.318692669397413
MAT 5:27,0.2372,282.8,0.4167,230.6,0.8506,0.286,245.6,0.602559351749633,0.42246579762086134
MAT 5:28,0.1527,1022.0,0.3662,277.0,0.5713,0.2223,614.0,0.7196149239964962,0.30556233456112375
MAT 5:29,0.0858,1057.0,0.4072,493.5,0.7104,0.2822,689.0,0.5998013985025005,0.36177705007449534
MAT 5:30,0.0829,911.5,0.407,486.2,0.76,0.2834,612.5,0.5749530006247913,0.37463680104598046
MAT 5:31,0.0814,1491.0,0.3293,776.5,0.6714,0.1954,746.0,0.659193182202503,0.3110999506147275
MAT 5:32,0.05386,1118.0,0.3142,449.2,0.5654,0.2615,701.0,0.6934325544459615,0.28814676591952837
MAT 5:33,0.09753,1500.0,0.345,857.0,0.709,0.2712,820.0,0.68007158136386,0.3317722308493933
MAT 5:34,0.12354,1000.0,0.3296,278.0,0.586,0.2485,622.0,0.6338129325814343,0.3157417291404411
MAT 5:35,0.1065,957.0,0.4402,638.5,0.678,0.3374,546.5,0.5131418304245771,0.3878088129125373
MAT 5:36,0.1009,1029.0,0.4065,325.8,0.7617,0.3306,593.5,0.5988125611416169,0.3825754078110603
MAT 5:37,0.1148,1597.0,0.2769,822.5,0.613,0.2391,884.0,0.7052583988797316,0.29749187722180664
MAT 5:38,0.1572,964.0,0.4338,786.5,0.8335,0.2257,648.5,0.730664652644697,0.3702198703514051
MAT 5:39,0.1456,1335.0,0.3093,664.0,0.6304,0.282,787.0,0.6192149218688852,0.3339577839851118
MAT 5:40,0.1412,2478.0,0.3774,906.5,0.5537,0.2656,1436.0,0.7184870037954981,0.3098249953850131
MAT 5:41,0.1509,1327.0,0.2634,359.8,0.4243,0.2812,726.0,0.6333036990298639,0.28171068714039904
MAT 5:42,0.1158,1704.0,0.3767,699.0,0.6323,0.2825,1003.5,0.6483643815906616,0.3391817369063603
MAT 5:43,0.08905,2036.0,0.528,1467.0,0.849,0.427,1148.0,0.4518329283896162,0.4633756360107272
MAT 5:44,0.1948,1391.0,0.442,453.8,0.688,0.3127,836.0,0.5608141990822282,0.3986394636540759
MAT 5:45,0.0731,1253.0,0.3887,903.5,0.775,0.2834,745.5,0.5839127678333803,0.36987543329758377
MAT 5:46,0.1548,1483.0,0.3325,408.0,0.5977,0.2986,911.5,0.5930781861403717,0.3427290447960404
MAT 5:47,0.07306,2102.0,0.2106,431.2,0.4556,0.2698,1190.0,0.6678417752417588,0.2550029825827917
MAT 5:48,0.1669,1853.0,0.337,551.5,0.6313,0.3408,1037.0,0.6637925309502868,0.34361054680268105
MAT 6:1,0.1097,987.5,0.2861,528.0,0.59,0.2029,587.0,0.7003142503935893,0.28358684174369586
MAT 6:2,0.0626,1135.0,0.3003,693.0,0.658,0.2283,665.0,0.6589378652731829,0.3041706928596859
MAT 6:3,0.1163,1485.0,0.3267,461.5,0.7285,0.2522,859.0,0.6353412316122735,0.3423098132448886
MAT 6:4,0.1193,1969.0,0.3362,896.5,0.6753,0.3176,1173.0,0.6202535542467881,0.3480236776833069
MAT 6:5,0.0678,1082.0,0.363,760.0,0.6943,0.2688,656.0,0.616356491263735,0.33901611871999066
MAT 6:6,0.12134,1488.0,0.413,1057.0,0.7886,0.301,876.0,0.6282871421984513,0.3832392506604635
MAT 6:7,0.13,428.2,0.383,179.2,0.6265,0.2754,324.2,0.7043652276179008,0.32827951372785363
