,source,target,co-occurrence_count,translation_score
0,a,a,268,0.11705420769890491
1,a,afternoon,13,1.3412327237881147e-45
2,a,air,1,6.9243695152777865e-46
3,a,alicia,1,1.2172585968744407e-44
4,a,am,21,0.30834233468918265
5,a,amelia,1,3.1974913172225485e-44
6,a,and,34,0.057973458180524476
7,a,andrés,1,2.908215550470983e-44
8,a,april,5,3.427365819411988e-45
9,a,are,22,0.06313833656764885
10,a,arnau,1,3.0670550824489854e-44
11,a,arturo,2,2.8345755051094854e-44
12,a,asunción,1,2.834575312394031e-44
13,a,at,137,0.4211820863767374
14,a,bag,6,0.01558842905188147
15,a,bags,13,0.00495230399665251
16,a,balaguer,1,1.3481345731064085e-42
17,a,barberá,1,3.2904817954559704e-44
18,a,bath,11,0.0068094574664219094
19,a,bathroom,6,1.29656791281698e-45
20,a,berrueco,1,2.7644340848454785e-44
21,a,betoret,1,2.98561390540376e-44
22,a,booked,36,1.4410026027277042e-13
23,a,borillo,1,2.98561390540376e-44
24,a,borrás,1,3.338933941196098e-44
25,a,botella,1,3.243351392706311e-44
26,a,cabedo,3,7.651141543851852e-45
27,a,cabo,1,3.0258102895763997e-44
28,a,calatayud,1,3.338933941196098e-44
29,a,call,25,0.14720491746271536
30,a,calleja,1,2.946427818614382e-44
31,a,can,29,2.5483573428969107e-46
32,a,cantero,1,2.946427818614382e-44
33,a,carmelo,1,2.908215550470983e-44
34,a,carpio,1,3.197491242391738e-44
35,a,celestino,1,3.0670550824489854e-44
36,a,colomer,2,1.2093755762856474e-44
37,a,conditioning,1,9.083642174738253e-46
38,a,cornelles,2,1.2461789613748664e-44
39,a,could,52,1.521429008616852e-46
40,a,date,1,1.6127706311111308e-44
41,a,days,2,2.0167991073155277e-45
42,a,double,16,3.898990004759833e-46
43,a,down,18,0.09126610629080022
44,a,dulce,1,3.1528524024911797e-44
45,a,díaz,1,3.0670550824489854e-44
46,a,eight,19,8.198256232727661e-46
47,a,eighteen,1,1.2318994622500587e-44
48,a,eighteenth,1,3.1528524024911797e-44
49,a,eleven,10,2.3335149255215143e-45
50,a,eleventh,2,1.2534411263788804e-44
51,a,emilio,1,1.2534411263788804e-44
52,a,enrique,2,1.2373001810278493e-44
53,a,espinosa,1,2.834575312394031e-44
54,a,evening,14,1.2437197142273081e-45
55,a,federico,1,1.2682192144647973e-44
56,a,fernández,2,1.2682192144647973e-44
57,a,fifteenth,2,3.1093884419981067e-44
58,a,first,2,5.565417291102543e-45
59,a,five,9,1.049046556032228e-45
60,a,for,135,0.14565604189456796
61,a,four,23,5.117968583606723e-46
62,a,fourteenth,1,6.862254533531667e-45
63,a,fourth,1,1.2534411263788804e-44
64,a,francisco,1,3.243351392706311e-44
65,a,friday,7,2.980209601099191e-45
66,a,gerardo,2,1.2534411263788804e-44
67,a,good,6,1.1215726585623147e-45
68,a,gregorio,1,1.2534411263788804e-44
69,a,guijarro,1,3.197491242391738e-44
70,a,gumbau,1,3.1528524024911797e-44
71,a,gómez,2,2.8709424321609344e-44
72,a,half,30,0.0077285298076708265
73,a,have,53,1.979554098202346e-46
74,a,herrero,1,5.543510723662561e-42
75,a,i,126,2.960330884848667e-20
76,a,ibánez,1,3.197491242391738e-44
77,a,in,50,2.136267230475355e-46
78,a,inmaculada,2,1.2407888144434383e-44
79,a,is,1,3.830833502197984e-46
80,a,isabel,1,2.946427818614382e-44
81,a,jesús,1,7.965204099632786e-45
82,a,jiménez,1,2.908215550470983e-44
83,a,jorge,1,1.318329106437267e-44
84,a,josé,1,1.238999480082336e-44
85,a,juan,1,3.338933941196098e-44
86,a,julia,2,1.2636249099484512e-44
87,a,leave,26,1.590493375594387e-29
88,a,leaving,43,0.3896339357090658
89,a,lidia,1,1.260787371041051e-44
90,a,like,19,3.866457417319676e-46
91,a,llopis,1,3.243351392706311e-44
92,a,llorens,1,3.224965800659985e-44
93,a,lobo,1,3.169307406910091e-44
94,a,look,3,6.0514653941233605e-37
95,a,luggage,38,0.11855806884346692
96,a,luis,1,3.243351392706311e-44
97,a,made,24,3.284427457318222e-46
98,a,manuela,1,3.0670817698887804e-44
99,a,march,1,8.120740317547507e-45
100,a,marina,2,7.54296078441312e-45
101,a,martínez,1,3.197491242391738e-44
102,a,may,2,9.31081823906915e-45
103,a,me,52,0.12174417865819451
104,a,micaela,1,3.197491242391738e-44
105,a,miguel,1,3.197491242391738e-44
106,a,mind,23,3.504741943663165e-46
