source,target,alignment_count
",",:,1
",",que,3
",",«,1
.,.,6
.,;,2
:,de,1
:,luego,1
:,luz,1
;,y,1
a,un,1
and,;,1
and,cubría,1
and,dios,1
and,entonces,2
and,la,1
and,pasó,1
and,y,9
and,»,1
be,haya,2
beginning,principio,1
called,a,2
called,llamó,1
created,creó,1
darkness,oscuridad,3
day,día,2
divide,de,1
divided,.,2
earth,tierra,2
evening,la,1
firmament,espacio,2
firmament,las,1
firmament,lo,1
first,primer,1
from,de,3
god,dios,7
god,separó,1
good,buena,1
he,la,1
heaven,cielos,1
in,",",1
in,en,1
it,de,2
let,:,1
let,«,2
light,luz,5
light,»,2
made,eso,1
midst,aguas,1
morning,así,1
night,y,1
of,aguas,1
of,las,2
of,movía,1
of,sobre,1
said,dijo,2
saw,vio,1
that,era,1
the,",",4
the,así,1
the,cielos,1
the,cumplió,1
the,el,4
the,ese,1
the,fue,1
the,la,10
the,llegó,1
the,los,2
the,mañana,1
the,para,2
the,se,2
the,separar,2
the,sucedió,1
the,tarde,1
the,tierra,2
the,»,1
there,que,2
under,ese,1
void,y,1
was,hubo,1
waters,aguas,4
waters,de,1
waters,las,3
which,formó,1
without,y,1
