vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.2634,259.8,0.5903,250.8,0.9824,0.5635,241.0,0.42024125739697293,0.5630117175392197
MAT 1:2,0.2627,1818.0,0.59,764.0,0.8433,0.536,972.5,0.4596630094947144,0.5267025643050083
MAT 1:3,0.2008,1599.0,0.603,645.0,0.733,0.635,847.0,0.36837128465131314,0.5242902509257585
MAT 1:4,0.3645,1759.0,0.6685,450.8,0.881,0.571,850.0,0.39084463769191824,0.5847630374692752
MAT 1:5,0.1531,1238.0,0.5347,317.5,0.739,0.6714,600.5,0.33821780409776847,0.5126692705636305
MAT 1:6,0.1821,352.5,0.6357,275.2,0.871,0.5703,253.5,0.41202302293097376,0.5355802354804721
MAT 1:7,0.3645,1760.0,0.677,452.0,0.881,0.714,851.0,0.31623695630146165,0.6228596545158009
MAT 1:8,0.3645,1759.0,0.7065,450.5,0.881,0.714,850.0,0.31623695630146165,0.6288724893372296
MAT 1:9,0.3645,1759.0,0.7065,450.5,0.881,0.714,850.0,0.31623695630146165,0.6288724893372296
MAT 1:10,0.3645,1759.0,0.685,450.5,0.881,0.642,850.0,0.3621831873073207,0.6052388961397249
MAT 1:11,0.13,1262.0,0.477,630.0,0.63,0.5576,763.5,0.4225640551061993,0.4407177193236444
MAT 1:12,0.2686,345.2,0.6045,268.8,0.8906,0.631,249.0,0.3383579972274567,0.5728940395776416
MAT 1:13,0.3645,1759.0,0.6626,451.0,0.881,0.714,850.0,0.31623695630146165,0.620027623265801
MAT 1:14,0.3645,1759.0,0.7065,450.5,0.881,0.714,850.0,0.31623695630146165,0.6288724893372296
MAT 1:15,0.3645,1763.0,0.6665,454.0,0.876,0.6274,853.0,0.4342163651305908,0.5873786200295008
MAT 1:16,0.2032,1289.0,0.5186,405.0,0.793,0.3892,686.5,0.5960079026215931,0.4414389065309761
MAT 1:17,0.081,693.5,0.6074,538.5,0.838,0.49,482.8,0.4462111303181008,0.4847067825806641
MAT 1:18,0.08435,346.0,0.4492,264.8,0.811,0.3352,274.2,0.6095584730014919,0.3950285543273269
MAT 1:19,0.166,2320.0,0.343,508.5,0.643,0.2822,1195.0,0.7686404296732625,0.32384081333169445
MAT 1:20,0.0812,517.0,0.5117,341.5,0.8154,0.367,414.2,0.4839238754644362,0.4331766688396885
MAT 1:21,0.1443,1444.0,0.52,448.5,0.741,0.3247,801.0,0.48846064705477354,0.42581467233399434
MAT 1:22,0.2362,1066.0,0.5195,353.8,0.8784,0.2212,566.0,0.6370154168728549,0.42590331845531143
