source,target,embedding_score
am,in,0.263
am,the,0.01358
am,beginning,0.6934
am,god,-0.04904
am,created,0.6934
am,heaven,0.6934
am,and,-0.04904
am,earth,0.1809
am,.,-0.04904
anfang,in,0.263
anfang,the,0.01358
anfang,beginning,0.6934
anfang,god,-0.04904
anfang,created,0.6934
anfang,heaven,0.6934
anfang,and,-0.04904
anfang,earth,0.1809
anfang,.,-0.04904
schuf,in,0.263
schuf,the,0.01358
schuf,beginning,0.6934
schuf,god,-0.04904
schuf,created,0.6934
schuf,heaven,0.6934
schuf,and,-0.04904
schuf,earth,0.1809
schuf,.,-0.04904
gott,in,-0.047
gott,the,-0.04187
gott,beginning,0.0
gott,god,0.1401
gott,created,0.0
gott,heaven,0.0
gott,and,0.1401
gott,earth,-0.1335
gott,.,0.1401
himmel,in,0.263
himmel,the,0.01358
himmel,beginning,0.6934
himmel,god,-0.04904
himmel,created,0.6934
himmel,heaven,0.6934
himmel,and,-0.04904
himmel,earth,0.1809
himmel,.,-0.04904
und,in,-0.1448
und,the,0.2444
und,beginning,-0.04086
und,god,0.3801
und,created,-0.04086
und,heaven,-0.04086
und,and,0.3801
und,earth,0.1962
und,.,0.3801
erde,in,-0.04495
erde,the,0.067
erde,beginning,0.1809
erde,god,0.0565
erde,created,0.1809
erde,heaven,0.1809
erde,and,0.0565
erde,earth,0.6934
erde,.,0.0565
.,in,-0.1448
.,the,0.2444
.,beginning,-0.04086
.,god,0.3801
.,created,-0.04086
.,heaven,-0.04086
.,and,0.3801
.,earth,0.1962
.,.,0.3801
und,was,0.1702
und,without,-0.002934
und,form,-0.002934
und,",",0.2656
und,void,-0.002934
und,;,-0.002934
und,darkness,0.312
und,upon,-0.002934
und,face,-0.002934
und,of,-0.07294
und,deep,-0.002934
und,spirit,-0.002934
und,moved,-0.002934
und,waters,-0.1403
die,and,0.0874
die,the,0.1073
die,earth,0.1371
die,was,-0.0952
die,without,0.2251
die,form,0.2251
die,",",0.0923
die,void,0.2251
die,;,0.2251
die,darkness,0.322
die,upon,0.2251
die,face,0.2251
die,of,0.005844
die,deep,0.2251
die,.,0.0874
die,spirit,0.2251
die,god,0.0874
die,moved,0.2251
die,waters,-0.01278
erde,was,-0.1769
erde,without,0.2042
erde,form,0.2042
erde,",",-0.1722
erde,void,0.2042
erde,;,0.2042
erde,darkness,-0.01973
erde,upon,0.2042
erde,face,0.2042
erde,of,0.02887
erde,deep,0.2042
erde,spirit,0.2042
erde,moved,0.2042
erde,waters,-0.07184
war,and,-0.05728
war,the,-0.06976
war,earth,-0.06665
war,was,0.1962
war,without,0.1926
war,form,0.1926
war,",",0.03973
war,void,0.1926
