,source,target,align_count,word score
219,a,up,96,0.5172684552205289
245,abril,april,5,0.5371807868556647
261,abril,nineteenth,2,0.8833727328782637
262,abril,ninth,1,0.8294638148212963
273,acepta,do,1,0.9535050292471751
278,aceptan,do,3,0.8588162275161094
283,aceptaría,would,1,0.953491121475327
288,aceptarían,would,1,0.9331753123428306
300,acondicionado,conditioning,26,0.612357984071085
342,acuerdo,agree,1,0.9535050292471751
346,adiós,bye,2,1.0
375,aire,air,26,0.6143617933008434
455,al,the,31,0.6103649717248261
463,alguna,a,41,0.8028537344874839
509,amelia,amelia,1,0.8975502965499732
518,andrés,andrés,1,0.8133784526867186
534,anotados,extras,2,0.9435183632728431
543,apuntada,the,1,0.874977769607588
553,apuntados,expenses,2,0.6757365365828092
561,arnau,arnau,1,0.847529079242732
573,arturo,arturo,1,0.7920393781175148
592,aseo,bath,2,0.7981185976953756
611,asunción,asunción,1,0.7920393781175148
627,autobús,bus,10,0.829207468978808
649,baja,send,1,0.7794410051421338
657,bajar,down,10,0.5662550939825818
681,bajarme,down,1,0.8166418778753699
690,bajarnos,down,1,0.8697476656250828
728,baje,send,2,0.9165431843696545
777,bar,minibar,4,0.8383246607623313
790,barberá,barberá,1,0.8975502965499732
805,baño,bath,11,0.6271900383291374
861,berrueco,berrueco,1,0.7524310055538143
882,betoret,betoret,1,0.8244656070677022
895,bien,right,4,0.9010279250149151
898,bolsa,bag,6,0.5900416427339708
923,bolsas,bags,25,0.659241224634441
961,borillo,borillo,1,0.8358453827944569
973,borrás,borrás,1,0.9109447440879194
980,botella,botella,1,0.8975502965499732
1027,buenos,good,1,0.9840327014426661
1061,cabedo,cabedo,3,0.9270297880822485
1081,cabo,cabo,1,0.847529079242732
1090,caja,a,3,0.6484929490578767
1108,calatayud,calatayud,1,0.9109447440879194
1141,calleja,calleja,1,0.8358453827944569
1156,calor,room,4,0.8298777997323792
1160,calurosa,hot,3,0.9807073313517694
1228,cantero,cantero,1,0.7920393781175148
1242,cara,expensive,3,0.984506334326653
1249,carmelo,carmelo,1,0.8025731246479577
1265,carpio,carpio,1,0.8845257088991186
1285,catorce,fourteenth,3,0.8146550790693582
1321,celestino,celestino,1,0.871856423519564
1351,cero,oh,19,0.7762373206876911
1400,cinco,five,15,0.9561428365872605
1465,ciudad,town,2,0.8862171549333484
1470,coche,car,7,0.8501329887674007
1485,colomer,colomer,2,0.9092433880147486
1505,completa,full,4,0.6099243502858578
1635,con,with,81,0.8623004725783573
1638,conforme,okay,2,1.0
1641,cornelles,cornelles,2,0.9285153256167268
1680,crédito,cards,1,0.9535050292471751
1732,cuarto,quarter,42,0.5819687081977286
1781,cuatro,four,30,0.7902320388283488
